Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),HeartRate (bpm),BloodOxygen (Sp02),BodyTemp (Celcius)
277,1620317742190,42.0,96.0,26.0
278,1620317742190,42.0,96.0,26.0
279,1620317742190,42.0,96.0,26.0
280,1620317742191,42.0,96.0,26.0
281,1620317742191,42.0,96.0,26.0
282,1620317742191,42.0,96.0,26.0
283,1620317742191,42.0,96.0,26.0
284,1620317742191,42.0,96.0,26.0
285,1620317742191,42.0,96.0,26.0
286,1620317742191,42.0,96.0,26.0
287,1620317742191,42.0,96.0,26.0
288,1620317742191,42.0,96.0,26.0
289,1620317742191,42.0,96.0,26.0
290,1620317742191,42.0,96.0,26.0
291,1620317742191,42.0,96.0,26.0
292,1620317742191,42.0,96.0,26.0
293,1620317742191,42.0,96.0,26.0
294,1620317742191,42.0,96.0,26.0
295,1620317742191,42.0,96.0,26.0
296,1620317742191,42.0,96.0,26.0
297,1620317742191,42.0,96.0,26.0
298,1620317742191,42.0,96.0,26.0
299,1620317742191,42.0,96.0,26.0
300,1620317742191,42.0,96.0,26.0
301,1620317742191,42.0,96.0,26.0
302,1620317742191,42.0,96.0,26.0
303,1620317742191,42.0,96.0,26.0
304,1620317742191,42.0,96.0,26.0
305,1620317742191,42.0,96.0,26.0
306,1620317742191,42.0,96.0,26.0
307,1620317742191,42.0,96.0,26.0
308,1620317742191,42.0,96.0,26.0
309,1620317742191,42.0,96.0,26.0
310,1620317742191,42.0,96.0,26.0
311,1620317742191,42.0,96.0,26.0
312,1620317742191,42.0,96.0,26.0
313,1620317742191,42.0,96.0,26.0
314,1620317742191,42.0,96.0,26.0
315,1620317742191,42.0,96.0,26.0
316,1620317742191,42.0,96.0,26.0
317,1620317742191,42.0,96.0,26.0
318,1620317742191,42.0,96.0,26.0
319,1620317742191,42.0,96.0,26.0
320,1620317742191,42.0,96.0,26.0
321,1620317742191,42.0,96.0,26.0
322,1620317742191,42.0,96.0,26.0
323,1620317742191,42.0,96.0,26.0
324,1620317742191,42.0,96.0,26.0
325,1620317742191,42.0,96.0,26.0
326,1620317742191,42.0,96.0,26.0
327,1620317742191,42.0,96.0,26.0
328,1620317742191,42.0,96.0,26.0
329,1620317742191,42.0,96.0,26.0
330,1620317742191,42.0,96.0,26.0
331,1620317742191,42.0,96.0,26.0
332,1620317742191,42.0,96.0,26.0
333,1620317742191,42.0,96.0,26.0
334,1620317742191,42.0,96.0,26.0
335,1620317742191,42.0,96.0,26.0
336,1620317742191,42.0,96.0,26.0
337,1620317742191,42.0,96.0,26.0
